Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
152,Jordan Howden,0,1,0.0,0,0,0,0,0,1,0.8,0.8,2.4%,NO,7,2023
153,Theo Jackson,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.4%,MIN,7,2023
154,Zyon McCollum,0,1,0.0,0,0,0,0,0,1,0.8,0.8,6.5%,TB,7,2023
155,Michael Ojemudia,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,ARI,7,2023
156,Thomas Graham Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,7,2023
157,Shyheim Carter,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%,TEN,7,2023
158,K'Von Wallace,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.1%,SEA,7,2023
159,Lamar Jackson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,CAR,7,2023
160,Darnay Holmes,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,NYG,7,2023
161,Alohi Gilman,0,0,0.0,0,0,0,0,0,0,0.0,0.0,10.4%,LAC,7,2023
162,Jeremy Chinn,0,0,0.0,0,0,0,0,0,0,0.0,0.0,7.0%,WAS,7,2023
163,Jalen Thompson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,16.8%,ARI,7,2023
164,Brandon Jones,0,0,0.0,0,0,0,0,0,1,0.0,0.0,20.5%,DEN,7,2023
165,C.J. Moore,0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.1%,DET,7,2023
166,Isaiah Simmons,0,3,0.0,0,0,0,0,0,1,0.0,0.0,6.1%,NYG,7,2023
167,Kristian Fulton,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.0%,LAC,7,2023
168,C.J. Henderson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,HOU,7,2023
169,Ashtyn Davis,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.4%,NYJ,7,2023
170,Aaron Robinson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0%,NYG,7,2023
171,Elijah Riley,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,7,2023
172,Javelin Guidry,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0%,NYJ,7,2023
173,James Pierre,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,WAS,7,2023
174,Noah Igbinoghene,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,7,2023
175,Stantley Thomas-Oliver III,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0%,NYG,7,2023
176,Jaylinn Hawkins,0,0,0.0,0,0,0,0,0,0,0.0,0.0,11.0%,NE,7,2023
177,Shaun Wade,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,NE,7,2023
178,Isaiah Rodgers Sr.,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.6%,PHI,7,2023
179,Harrison Hand,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,7,2023
180,A.J. Green III,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,MIN,7,2023
181,Troy Pride Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,HOU,7,2023
182,Dicaprio Bootle,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.6%,CAR,7,2023
183,Kindle Vildor,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,7,2023
184,Kyron Brown,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%,BUF,7,2023
185,Cam Lewis,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,BUF,7,2023
186,Duke Shelley,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,7,2023
187,Sean Murphy-Bunting,0,0,0.0,0,0,0,0,0,0,0.0,0.0,10.5%,ARI,7,2023
188,Amani Hooker,0,0,0.0,0,0,0,0,0,0,0.0,0.0,14.4%,TEN,7,2023
189,Bryce Hall,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,TB,7,2023
190,C.J. Gardner-Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,16.2%,PHI,7,2023
191,Tevaughn Campbell,0,0,0.0,0,0,0,0,0,1,0.0,0.0,2.0%,JAC,7,2023
192,Donovan Wilson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,20.5%,DAL,7,2023
193,D'Angelo Ross,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,HOU,7,2023
194,Micah Abernathy,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,ATL,7,2023
195,Nathan Meadors,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,7,2023
196,Roderic Teamer,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,7,2023
197,Daniel Thomas,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%,JAC,7,2023
198,Tyler Hall,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,PHI,7,2023
199,Douglas Coleman III,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,CHI,7,2023
200,Khalil Dorsey,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.6%,DET,7,2023
201,Grayland Arnold,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,7,2023
202,Jalen Elliott,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,7,2023
203,Bobby Price,0,0,0.0,0,0,0,0,0,1,0.0,0.0,6.0%,ARI,7,2023
204,Marcel Dabo,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,7,2023
205,Benny Sapp III,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,7,2023
206,D'Shawn Jamison,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.6%,CAR,7,2023
207,Nick Whiteside II,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,7,2023
208,Kendell Brooks,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,7,2023
209,Lance Boykin,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,SEA,7,2023
210,Ty Okada,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,SEA,7,2023
211,Christian Young,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0%,GB,7,2023
212,Jonathan Sutherland,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,SEA,7,2023
213,Cameron McCutcheon,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,LAR,7,2023
214,Jalen Graham,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,7,2023
215,Ameer Speed,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,7,2023
216,Marte Mapu,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.7%,NE,7,2023
217,Isaiah Bolden,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,NE,7,2023
218,Anthony Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,7,2023
219,Gervarrius Owens,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,7,2023
220,AJ Finley,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.4%,LAC,7,2023
221,Jerrick Reed II,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,SEA,7,2023
222,Darrell Luter Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,7,2023
223,Tanner Ingle,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,LAR,7,2023
224,Jason Taylor II,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,LAR,7,2023
225,Josh Hayes,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,7,2023
226,Kaleb Hayes,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,7,2023
227,Divaad Wilson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,ARI,7,2023
228,Keenan Isaac,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,7,2023
229,Kaevon Merriweather,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,TB,7,2023
230,Art Green,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,DEN,7,2023
231,Anthony Kendall,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,TEN,7,2023
232,Matthew Jackson,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,TEN,7,2023
233,Azizi Hearn,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,NE,7,2023
234,Jaydon Grant,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,7,2023
235,Jeremy Lucien,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,7,2023
236,Ekow Boye-Doe,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,KC,7,2023
237,Eric Garror,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,TEN,7,2023
238,Natrone Brooks,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,7,2023
239,Keidron Smith,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,DEN,7,2023
240,Alex Cook,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,7,2023
241,Reese Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,DEN,7,2023
