Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
39,Isaiah McKenzie,1,3,12,12.0,12,0,0,2,17,1,0,1,9.9,9.9,0.2%,NYG,10,2021
40,Hollywood Brown,6,13,37,6.2,11,0,0,0,0,0,0,1,9.7,9.7,79.0%,KC,10,2021
41,James Washington,2,6,15,7.5,9,0,1,0,0,0,0,1,9.5,9.5,0.0%,FA,10,2021
42,Amari Cooper,4,4,51,12.8,22,1,0,0,0,0,0,1,9.1,9.1,91.4%,CLE,10,2021
43,Devin Duvernay,4,4,28,7.0,11,0,0,1,19,0,0,1,8.7,8.7,0.2%,JAC,10,2021
44,Van Jefferson,3,7,54,18.0,33,2,0,0,0,0,0,1,8.4,8.4,1.4%,PIT,10,2021
45,Mike Williams,4,6,33,8.3,11,0,0,0,0,0,0,1,7.3,7.3,48.1%,NYJ,10,2021
46,Quez Watkins,4,6,33,8.3,18,0,0,0,0,0,0,1,7.3,7.3,0.2%,PIT,10,2021
47,Michael Gallup,3,5,42,14.0,23,1,0,0,0,0,0,1,7.2,7.2,6.4%,LV,10,2021
48,Emmanuel Sanders,2,2,27,13.5,16,0,0,1,24,0,0,1,7.1,7.1,0.0%,FA,10,2021
49,Kalif Raymond,4,6,29,7.3,12,0,0,0,0,0,0,1,6.9,6.9,1.3%,DET,10,2021
50,Jarvis Landry,4,5,26,6.5,11,0,0,0,0,0,0,1,6.6,6.6,14.0%,FA,10,2021
51,DJ Moore,4,7,24,6.0,10,0,0,0,0,0,0,1,6.4,6.4,97.7%,CHI,10,2021
52,DK Metcalf,3,8,26,8.7,18,0,0,0,0,0,0,1,5.6,5.6,98.5%,SEA,10,2021
53,Brandon Aiyuk,3,4,26,8.7,21,1,0,0,0,0,0,1,5.6,5.6,98.2%,SF,10,2021
54,Marvin Jones Jr.,2,6,35,17.5,23,1,0,0,0,0,0,1,5.5,5.5,0.1%,FA,10,2021
55,Demarcus Robinson,3,4,23,7.7,13,0,0,0,0,0,0,1,5.3,5.3,15.2%,LAR,10,2021
56,Joshua Palmer,3,4,22,7.3,13,0,0,0,0,0,0,1,5.2,5.2,26.4%,LAC,10,2021
57,Marquez Valdes-Scantling,1,2,41,41.0,41,3,0,0,0,0,0,1,5.1,5.1,1.3%,BUF,10,2021
58,Randall Cobb,3,4,21,7.0,8,0,0,0,0,0,0,1,5.1,5.1,0.0%,FA,10,2021
59,Laviska Shenault Jr.,3,8,15,5.0,6,0,0,2,6,0,0,1,5.1,5.1,0.2%,SEA,10,2021
60,Jamison Crowder,3,5,20,6.7,9,0,0,0,0,0,0,1,5.0,5.0,0.3%,WAS,10,2021
61,Mecole Hardman Jr.,2,3,27,13.5,27,1,0,1,3,0,0,1,5.0,5.0,1.2%,KC,10,2021
62,Courtland Sutton,2,3,29,14.5,26,1,0,0,0,0,0,1,4.9,4.9,83.4%,DEN,10,2021
63,Braxton Berrios,3,3,19,6.3,7,0,0,0,0,0,0,1,4.9,4.9,1.3%,MIA,10,2021
64,Tyler Johnson,3,5,17,5.7,8,0,0,0,0,0,0,1,4.7,4.7,0.0%,LAR,10,2021
65,Tim Patrick,3,6,14,4.7,7,0,0,0,0,0,0,1,4.4,4.4,0.6%,DEN,10,2021
66,Tyler Lockett,2,8,23,11.5,16,0,0,0,0,0,0,1,4.3,4.3,88.8%,SEA,10,2021
67,Olamide Zaccheaus,2,7,22,11.0,13,0,0,0,0,0,0,1,4.2,4.2,0.1%,WAS,10,2021
68,Nelson Agholor,2,4,21,10.5,11,0,0,0,0,0,0,1,4.1,4.1,0.9%,BAL,10,2021
