Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
26,Rhett Ellison,3,5,29,9.7,11,0,0,0,0,0,0,1,5.9,5.9,0.0%,FA,4,2018
27,Lee Smith,3,4,23,7.7,10,0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,4,2018
28,James O'Shaughnessy,2,3,28,14.0,17,0,0,0,0,0,0,1,4.8,4.8,0.0%,FA,4,2018
29,Austin Seferian-Jenkins,2,4,24,12.0,21,1,0,0,0,0,0,1,4.4,4.4,0.0%,FA,4,2018
30,Jordan Akins,2,3,24,12.0,14,0,0,0,0,0,0,1,4.4,4.4,0.1%,CLE,4,2018
31,Benjamin Watson,1,3,23,23.0,23,1,0,0,0,0,0,1,3.3,3.3,2.8%,FA,4,2018
32,Dallas Goedert,2,2,13,6.5,10,0,0,0,0,0,0,1,3.3,3.3,89.7%,PHI,4,2018
33,Jesse James,1,1,23,23.0,23,1,0,0,0,0,0,1,3.3,3.3,0.0%,FA,4,2018
34,Mark Andrews,2,2,12,6.0,10,0,0,0,0,0,0,1,3.2,3.2,73.3%,BAL,4,2018
35,Levine Toilolo,2,2,12,6.0,8,0,0,0,0,0,0,1,3.2,3.2,0.0%,FA,4,2018
36,Niles Paul,2,2,11,5.5,7,0,0,0,0,0,0,1,3.1,3.1,0.0%,FA,4,2018
37,Austin Hooper,1,2,19,19.0,19,0,0,0,0,0,0,1,2.9,2.9,0.4%,NE,4,2018
38,Virgil Green,2,2,9,4.5,10,0,0,0,0,0,0,1,2.9,2.9,0.0%,FA,4,2018
39,Chris Herndon IV,1,1,18,18.0,18,0,0,0,0,0,0,1,2.8,2.8,0.0%,FA,4,2018
40,Matt LaCosse,1,1,17,17.0,17,0,0,0,0,0,0,1,2.7,2.7,0.0%,FA,4,2018
41,Mo Alie-Cox,1,2,17,17.0,17,0,0,0,0,0,0,1,2.7,2.7,0.1%,IND,4,2018
42,Jason Croom,1,1,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,4,2018
43,Gerald Everett,1,1,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,23.5%,CHI,4,2018
44,Ryan Griffin,1,1,12,12.0,12,0,0,0,0,0,0,1,2.2,2.2,0.0%,FA,4,2018
45,Mike Gesicki,1,2,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,2.3%,CIN,4,2018
46,Antony Auclair,1,1,8,8.0,8,0,0,0,0,0,0,1,1.8,1.8,0.0%,FA,4,2018
47,Scott Simonson,1,1,7,7.0,7,0,0,0,0,0,0,1,1.7,1.7,0.0%,FA,4,2018
